timestamp,id,payload
2026-08-04T16:53:43.430371+00:00,1FFD4041,0201BC0000000000
2026-08-04T16:53:43.440880+00:00,1FFD4041,030000FFFFFFFF00
2026-08-04T16:53:43.451264+00:00,1FFD4041,0400000200010000
2026-08-04T16:53:43.461771+00:00,1FFD4041,05003C0100020200
2026-08-04T16:53:43.748068+00:00,1FFD4041,0201BC0000000000
2026-08-04T16:53:43.758552+00:00,1FFD4041,030000FFFFFFFF00
2026-08-04T16:53:43.768714+00:00,1FFD4041,0400000200010000
2026-08-04T16:53:43.789047+00:00,1FFD4041,05003C0100020200
2026-08-04T16:53:44.062662+00:00,1FFD4041,0201BD0000000000
2026-08-04T16:53:44.072134+00:00,1FFD4041,030000FFFFFFFF00
2026-08-04T16:53:44.091669+00:00,1FFD4041,0400000200010000
2026-08-04T16:53:44.094235+00:00,1FFD4041,05003C0100020200
2026-08-04T16:53:44.390090+00:00,1FFD4041,0201BD0000000000
2026-08-04T16:53:44.392424+00:00,1FFD4041,030000FFFFFFFF00
2026-08-04T16:53:44.403271+00:00,1FFD4041,0400000200010000
2026-08-04T16:53:44.412368+00:00,1FFD4041,05003C0100020200
2026-08-04T16:53:44.696091+00:00,1FFD4041,0201BD0000000000
2026-08-04T16:53:44.707385+00:00,1FFD4041,030000FFFFFFFF00
2026-08-04T16:53:44.718645+00:00,1FFD4041,0400000200010000
2026-08-04T16:53:44.728921+00:00,1FFD4041,05003C0100020200
2026-08-04T16:53:45.015074+00:00,1FFD4041,0201BD0000000000
2026-08-04T16:53:45.026206+00:00,1FFD4041,030000FFFFFFFF00
2026-08-04T16:53:45.034800+00:00,1FFD4041,0400000200010000
2026-08-04T16:53:45.045549+00:00,1FFD4041,05003C0100020200
2026-08-04T16:53:45.152626+00:00,00000B41,8304FF
2026-08-04T16:53:45.152958+00:00,0000410B,01
2026-08-04T16:53:45.324763+00:00,1FFD4041,0201BD0000000000
2026-08-04T16:53:45.343635+00:00,1FFD4041,030000FFFFFFFF00
2026-08-04T16:53:45.353679+00:00,1FFD4041,0400000200010000
2026-08-04T16:53:45.364409+00:00,1FFD4041,05003C0100020200
2026-08-04T16:53:45.645002+00:00,1FFD4041,0201BD0000000000
2026-08-04T16:53:45.654117+00:00,1FFD4041,030000FFFFFFFF00
2026-08-04T16:53:45.665105+00:00,1FFD4041,0400000200010000
2026-08-04T16:53:45.673857+00:00,1FFD4041,05003C0100020200
2026-08-04T16:53:45.966596+00:00,1FFD4041,0201BD0000000000
2026-08-04T16:53:45.975992+00:00,1FFD4041,030000FFFFFFFF00
2026-08-04T16:53:45.986848+00:00,1FFD4041,0400000200010000
2026-08-04T16:53:45.997126+00:00,1FFD4041,05003C0100020200
2026-08-04T16:53:46.281125+00:00,1FFD4041,0201BD0000000000
2026-08-04T16:53:46.291792+00:00,1FFD4041,030000FFFFFFFF00
2026-08-04T16:53:46.300773+00:00,1FFD4041,0400000200010000
2026-08-04T16:53:46.311661+00:00,1FFD4041,05003C0100020200
2026-08-04T16:53:46.599028+00:00,1FFD4041,0201BD0000000000
